query_id,product_id,oof_pred
0,103052445,0.08027302106326033
0,103044513,0.21991479052651924
0,103035030,0.277698067702741
0,103036197,0.12664584002371837
0,103055323,0.32938209750566333
0,103065111,0.07410921654523009
0,103051786,0.04751065509346688
0,103025469,0.04831435646242426
0,103066596,0.247887987636642
0,103010665,0.2667361443606097
0,103010210,0.22727354445835318
0,103015105,0.11999116015527989
0,103043601,0.1328764613616727
0,103006984,0.13772135461288146
0,103053460,0.2676844417665563
0,103066188,0.18353321041332152
0,103009820,0.15251971219635152
0,103044507,0.24284262333931111
0,103044548,0.20615992060517102
0,103042000,0.3208027539031178
0,103061682,0.17541482118981266
0,103060075,0.10720369683643866
0,103032634,0.282817993998799
0,103054243,0.19862039565881556
0,103005282,0.11778953420946436
0,103012474,0.27301856866699836
0,103038604,0.19648158270337035
0,103059110,0.12486680909696872
0,103021283,0.25449035226903904
0,103054439,0.31734429874888403
1,103029531,0.29339839054584155
1,103026926,0.1398471540832844
1,103047501,0.21125574494985244
1,103031606,0.16300559982068813
1,103007658,0.13700486744493326
1,103042418,0.1516020780976799
1,103037741,0.2457561984208013
1,103040741,0.13416896416984797
1,103064594,0.10291765590762622
1,103051976,0.13197528006604778
1,103066861,0.15829659382670902
1,103056827,0.18973275188280744
1,103000844,0.17598785423333074
1,103050393,0.11230252827706694
1,103058164,0.1498983683262832
1,103050362,0.21730778593209266
1,103033239,0.20399962947291783
1,103018025,0.16677038720044096
1,103031741,0.3622541605086166
1,103039428,0.27084064076450254
1,103058159,0.07503564066919638
1,103040107,0.35938646387558143
1,103028793,0.2621203498874593
1,103066257,0.12726822506944585
1,103041536,0.2544035747140896
1,103062818,0.15759407332193973
1,103010853,0.18009537883835378
1,103049604,0.24272705863655236
1,103018092,0.2404371640304401
1,103060877,0.2570296163656177
2,103021228,0.1870149782981031
2,103018864,0.082422265129739
2,103001808,0.14005302077763704
2,103007012,0.20571671856590967
2,103003414,0.15373380691706584
2,103040094,0.13905013483649498
2,103061672,0.3262550449656175
2,103047941,0.18162049252235024
2,103045222,0.18913614084321181
