product_id,query_id,oof_pred
103047314,0,-2.692695921668432
103030678,0,-1.5181249293811414
103031217,0,-0.45373298034809034
103026621,0,-3.2952939861849724
103017048,0,1.3676642663125997
103001388,0,-2.6622916166262427
103057842,0,-3.367094563460389
103020893,0,-0.5719000217461514
103061530,0,-4.170650831511064
103028493,0,-1.2777471873637418
103025465,0,-3.717162707397274
103027983,0,-1.7501830806639689
103020398,0,1.779863484791845
103026519,0,-2.0408689041223176
103046705,0,-2.69004600177313
103051756,0,-2.6254954673200097
103030528,0,-1.3397022594763253
103020299,0,-2.001367841050682
103023399,0,-1.5539434208392187
103035435,0,-3.6053034230955663
103005587,0,-1.6606078697154814
103054747,0,-3.0579528324554213
103024664,0,-2.5752077419521364
103056681,0,-1.3819864083120361
103057125,0,-1.4032489263384123
103065485,0,-2.275072089798689
103007235,0,-2.6955901798854853
103018696,0,-2.7184987015651236
103059361,0,1.0559684411938877
103012102,0,-4.462820923012385
103062906,1,-0.767982720102029
103022099,1,-3.2528912308112647
103058364,1,-3.1002324258016176
103056896,1,-3.6606158398407818
103040446,1,-2.506899371687068
103032961,1,-0.8503045210436573
103009387,1,-2.812605076268731
103033003,1,-2.3482279447433068
103016801,1,-2.7687792031651695
103024387,1,-0.9890074686829073
103046849,1,-2.170647474792299
103049171,1,-2.9738373486504277
103016272,1,-2.3239572082543813
103010326,1,-2.3239572082543813
103056144,1,-3.914890543585062
103066077,1,-3.9798960448391387
103034948,1,-3.5801004453639744
103037602,1,-4.273431083078777
103021626,1,-1.6038493961343563
103035852,1,-0.8369015671517597
103054045,1,-3.120274699707344
103015195,1,-2.6802767424678198
103034491,1,-4.145390745286
103006068,1,-2.1531814731322996
103006221,1,-1.0380685491347998
103065134,1,-2.817363605833681
100616525,1,-3.4359133439506877
103004286,1,-1.9437872103954024
103008332,1,-2.300530149209038
103031934,1,-3.767806269915996
103059018,2,-0.19720954004963778
103062558,2,-3.7417592155508093
103060207,2,-3.0837633875415875
103035830,2,-3.712720208172332
103055728,2,-2.9628974800486896
103059469,2,-3.3424572490700637
103057259,2,0.7144375760669149
103037167,2,-3.310078097397622
103045695,2,-4.253271013841343
103039137,2,-3.6458952142274956
103028674,2,-3.6851056764370087
103053240,2,-3.782275260460495
103056701,2,-1.7240813716123409
103032818,2,-1.1250549646993218
103005926,2,-3.1479585316748286
103062605,2,-4.058773470507181
103008379,2,0.06237861830134783
103038513,2,-4.033118527465861
103018589,2,-4.104999716988308
103025236,2,-3.6555828125455223
103020043,2,-2.187222274977233
103039546,2,-3.1484932306148328
103005946,2,-3.5422396755881427
103015782,2,-1.9208479652858679
103001803,2,-3.6541264498804233
103035690,2,-3.80422522950192
103035648,2,-3.6460784814940177
103012546,2,-3.486108549820575
103039151,2,-3.7611595353277067
103003915,2,-2.424940710167515
103045847,3,-1.8680477823049042
103041894,3,-3.5865883676451285
103040728,3,-1.9532087176214967
100839691,3,-1.2947640247449959
103046584,3,-2.8210300735105887
103010311,3,-2.2652797009924375
103006234,3,-2.7954368460996117
103039690,3,-0.9171713044635201
103037089,3,-3.7916577393137363
103008592,3,-1.3715623817258844
103064331,3,-1.9548945710996208
103048934,3,-1.334948400084353
103022918,3,-1.7366341488425743
103062554,3,-2.855572660784686
103038025,3,-1.7609997530315866
103051455,3,-2.0034207084316256
103046951,3,-1.4704152009105824
103043416,3,-0.6749441960554241
103044050,3,-2.837086091687751
103058240,3,-2.128768132561497
103034694,3,-2.9308710553294364
103018090,3,-1.268510250926068
103002710,3,-1.067210512376839
103034297,3,-2.586528799251369
103047054,3,-2.2227597539133073
103010208,3,-2.54952567743313
103031084,3,-3.735049715346594
103041248,3,-0.5910896140911676
103062592,3,-0.1053050123474197
103010833,3,-2.6310251747224775
103019356,4,-2.626320848609533
103048840,4,-3.510013800423688
103022601,4,-3.077808279632728
103010693,4,-3.7271022798928004
103032731,4,-2.67914836976482
103042861,4,-2.9078841826546515
103009694,4,-3.704259040032043
103052509,4,-3.8644069775536813
103000889,4,-0.9378440309356775
103053240,4,-4.265599884760776
103028674,4,-3.8375355757976606
103007030,4,-4.5339762913328725
103065101,4,-4.3913433893975204
103041391,4,-0.9613385506414931
103005123,4,-4.517418476415083
103048149,4,-3.9606053637996337
103000825,4,-2.6047731434903274
103020465,4,-0.204430892810688
103036779,4,-3.6754872806591945
103039151,4,-3.6586367134315534
103034565,4,-0.3722484197224528
103062605,4,-4.254363031642264
103028489,4,-2.81021052395745
103018943,4,-0.9378440309356775
103039546,4,-2.933087065798937
103020719,4,-3.1643196171540118
103062173,4,-4.560571340730264
103066945,4,-1.2948033274556976
103010852,4,-3.518824542460257
103018774,4,-3.637802316358981
103023592,5,-1.8596515770443325
103044487,5,-4.077596763537131
103000044,5,-2.401340665570241
103007847,5,-4.177979121643243
103009922,5,-3.6132318783322543
103054576,5,0.5454435933657136
103019152,5,-2.331185943122284
103009421,5,-1.9233441728572944
103000273,5,-3.3234827985192457
103054044,5,-4.307936749319946
103066907,5,-2.0422952320216172
103063087,5,-2.788113000957869
103051682,5,-3.270124275309827
103022151,5,1.3467810517243182
103050073,5,-2.561610654239341
103039158,5,-3.6923258937957257
103007992,5,-2.9040688082255017
103060221,5,-1.6071851111346325
