query_id,product_id,prob
0,103042011,-1.5136233439237652
0,101177314,-1.7947936261702235
0,103009949,-1.512822788572349
0,103022608,-2.490981934699533
0,103041034,-2.0063292979531684
0,103048369,-2.385675206548839
0,103011389,-3.4093349706108516
0,103048541,-1.3676186333259983
0,103009583,-2.645976033499113
0,103055901,-2.553689586983892
0,103011659,-2.4579474156606254
0,103060348,-1.7323398081675274
0,103006494,-1.2675177512074631
0,103016991,-3.053666785467561
0,103007358,-1.5025535528460607
0,103058996,-2.769190172341605
0,103045506,-3.2265784812974374
0,103017504,-1.52116506211381
0,103015865,-1.8490987514616024
0,103043375,-3.0299518745424243
0,103051237,-1.4859653104226875
0,103017156,-2.4611449688355282
0,103019797,-2.1705978297212223
0,103044520,-1.0075867181169529
0,103006329,-3.001607772754814
0,103040738,-1.985597957719542
0,103008387,-1.9570647799731573
0,103037232,-1.6650342923138
0,103064092,-2.677704790261231
0,103004265,-3.0672066737026
1,103020425,-2.646320823223984
1,103033668,-2.961058486837233
1,103059964,-0.8356882256495968
1,103026445,-2.294818771734522
1,103040915,-2.4747489812688133
1,103049334,-3.1913967570528006
1,103021452,-2.0037845726983456
1,103050733,-1.9056718407410709
1,103056800,-3.2548921452262403
1,103043853,-1.2526059502713585
1,103028130,-1.7453286730075073
1,103013271,-1.827067758659684
1,103057216,-2.398629726301789
1,103066782,-2.464549268651534
1,103035071,-2.506657627479669
1,103010740,-2.9932323042704256
1,103017389,-2.357833448596268
1,103059874,-3.2953390140303203
1,103030096,-3.032477603896873
1,103022941,-1.6570717626522065
1,103028253,-2.022375668959158
1,103023840,-3.148832627157278
1,103042631,-2.0518097032810076
1,103013315,-2.2420930117549633
1,103042447,-3.3882252621259266
1,103013182,-3.5743103061456307
1,103002479,-3.3064145728678613
1,103019462,-3.168536260488519
1,103008447,-2.954811984005421
1,103015282,-2.1826635942318693
2,103053699,-4.461124121499253
2,103009266,-4.357926010829804
2,103031224,-4.795209105303753
2,103050843,-4.082637245120447
2,103038482,1.019832575758934
2,103000704,-4.795209105303753
2,103046458,-2.275740645939919
2,103060996,-0.6936404250657203
2,103041724,-5.262150008964408
2,103003335,-5.283630407973089
2,103005163,-4.358785557680911
2,103035712,-3.265485154917177
2,103036524,-3.1189714225573963
2,103018898,-5.262150008964408
2,103000325,-4.011507960201936
2,103060723,-5.262150008964408
2,103060812,-5.262150008964408
2,103024593,-4.9582927186455406
2,103052074,-4.450909719902364
2,103019643,-5.262150008964408
2,103064520,-4.353334560156488
2,103020842,1.1463121975839905
2,103047710,-3.0323888070375116
2,103021636,0.017978980617267742
2,103055828,-1.6936302348869658
2,103059542,-2.8442098241446354
2,103004804,-4.795209105303753
2,103051607,-1.1975444741995636
2,101520853,-4.360040032665097
2,103044661,-4.795209105303753
3,103059677,-3.265054827748434
3,103015616,-0.7239386047671229
3,103057016,-0.21612732502972487
3,103004695,-1.1751982303016288
3,103054955,-1.4712876028439825
3,103031519,-1.0664735339376339
3,103048505,-0.6331799781263232
3,103020106,-1.5021329076739605
3,103017224,-2.76360476116868
3,103031918,-0.37462256946742606
3,103042804,-1.498285473026086
3,103061272,-1.55538608171499
3,103023997,-1.7260231892347118
3,103053402,-0.763100299235679
3,103026658,-2.8275023911598343
3,103022609,-0.8427736785921909
3,103014742,-3.187025348336318
3,103022526,-1.537020804627574
3,103001160,-0.8481634355018435
3,103030069,0.03552027869746463
3,103002684,-1.598887039730089
3,103052105,-1.9931767776385507
3,103048691,-1.6480429536892012
3,103000311,-0.31733574232647754
3,103001569,-0.42029333253948864
3,103015987,-0.339953314139741
3,103054880,-2.5457126334521583
3,103065469,-0.02643567082020594
3,103060816,-1.0147773646107967
3,103020379,-2.4917178161481734
4,103020947,-4.351067754398889
4,103060216,-2.1179860668645194
4,103015434,-0.2188057886246378
4,103041912,-0.5389324545404681
4,103060649,-1.0801869411730163
4,103036183,-4.330581004595987
4,103047854,-4.3013458765759
4,103039172,-4.429116645489586
4,103044650,-5.054633708527174
4,103037676,-2.141793776588083
4,103006733,-5.054633708527174
4,103064880,-1.3262981002085188
4,103002412,-1.6721899665903317
4,103048629,-0.3272474280553487
4,103053116,-0.20823321406677964
4,103000894,-0.7657416189649875
4,103028070,-1.9448581747700513
4,103002772,-4.39306783007648
4,103026129,-2.0637046242802204
4,103061125,0.47718220943523004
4,103007293,-1.0611079616827612
4,103053750,-1.6293293743339494
4,103061967,-4.444090652669598
4,103057012,-0.16056477835090602
4,103023954,-1.9637524893464178
4,103014612,-4.398633426082858
4,103016017,-4.124265661229359
4,103025374,-0.4706478502586364
4,103012954,-4.314888838750629
4,103057244,-4.433697774978471
5,103002463,-2.7373232295253818
5,103063397,-2.126108361197707
5,103004394,-2.373786921900307
5,103039657,-2.8322235511423495
5,103031048,-2.5422480818921156
5,103014338,-1.5832155244296144
5,103036395,-2.328216150333236
5,103017318,-1.746952421213655
5,103019343,-1.9760582149590182
5,103037430,-1.5577098990285971
5,103012547,-2.444606231144994
5,103037178,-1.4090561723145185
5,103012151,-2.174999519929444
5,103039870,-1.3208168478302584
5,103054870,-2.8636449829393316
5,103059302,-2.275656376291426
5,103037042,-1.7154785745279701
5,103056927,-1.2698738532827978
5,103043653,-2.444606231144994
5,103020491,-2.2934719039426033
5,103010905,-2.444606231144994
5,103015482,-3.6970193498782566
5,103016283,-1.9803925440906414
5,103060976,-2.2904149070445885
5,103026927,-1.2751043702851022
5,103048711,-1.9466841238233485
5,103025635,-3.085774924149292
5,103029690,-2.4303617806081306
5,103003607,-2.444606231144994
5,103040127,-2.471672971622303
6,103056693,-2.112156613940565
6,103013167,-3.1439742071822576
