query-id,product1,product2,product3,product4,product5
0,103020398,103059361,103017048,103031217,103020893
1,103032961,103006068,103046849,103065134,103016801
2,103008379,103020043,103059018,103056701,103035830
3,103046584,103006234,103058240,103043416,103037089
4,103034565,103042861,103018943,103041391,103020465
5,103039158,103007999,103022151,103028653,103061609
6,103021733,103000242,103053800,103032874,103000462
7,103061390,103065006,103021052,103025882,103008771
8,103027289,103065258,103027357,103052237,103056233
9,103030456,103064965,103065258,103049972,103040021
10,103065206,103058125,103005840,103049707,103018933
11,103056361,103058508,103028765,103052758,103065836
12,103032272,103034577,103039781,103013316,103058210
13,103045183,103004351,103064962,103007203,103040978
14,103045410,103038336,103029168,103028198,103057072
15,103002639,103042200,103054344,103001622,103005821
16,103013225,103005021,103052821,103064346,103066013
17,103049768,103001542,103046185,103030762,103036737
18,103052700,103013630,103032361,103027360,103047396
19,103066482,103038015,103017923,103061110,103045995
20,103044380,103005310,103056201,103053811,103042080
21,103036746,103004245,103029058,103036133,103019534
22,103039726,103031132,103045009,103012397,103037835
23,103021986,103055844,103038048,103021717,103016688
24,103034701,103012025,103059900,103065015,103032408
25,103057577,103052090,103060452,103004211,103061280
26,103039033,103052850,103063211,103028724,103050084
27,103057580,103060002,103049065,103045003,103038857
28,103059507,103013198,103004785,103052378,103000532
29,103056994,103030110,103053100,103006765,103060483
30,103037984,103033633,103028419,103052467,103033406
31,103065152,103048030,103022062,103014334,103000845
32,103006186,103007030,103041854,103042988,103015565
33,103000881,103013597,103012339,103010535,103060612
34,103019486,103034108,103010859,103015803,103035013
35,103065593,103044487,103028653,103053062,103002085
36,103034167,103047700,103005281,103041452,103053322
37,103062355,103004269,103021914,103020609,103001147
38,103036984,103061079,103030525,103001398,103030171
39,103026288,103060261,103022208,103065750,103018242
40,103048477,103051564,103047088,103004098,103037010
41,103056782,103024364,103020009,103003041,103065258
42,103036679,103044893,103002337,103035465,103022570
43,103053155,103060861,103017946,103003163,103014606
44,103027211,103003934,103012184,103031872,103005282
45,103053126,103022571,103014594,103060296,103039191
46,103029491,103051738,103057769,103029547,103065997
47,103017768,103046662,103001147,103058697,103020082
48,103013256,103031533,103032710,103027830,103039413
49,103009263,103016108,103006981,103056285,103031088
50,103025015,103045715,103036923,103010424,103062592
51,103024786,103045708,103053497,103034951,103053721
52,103051641,103009156,103049646,103019897,103032999
53,103025299,103057898,103049272,103053768,103018608
54,103057712,103053123,103000459,103054190,103030338
55,103032056,103056275,103056893,103013944,103030722
56,103005307,103008880,103008301,103005055,103062361
57,103000710,103004614,103064176,103047352,103042194
59,103047424,103064677,103037678,103044517,103008408
60,103033767,103002405,103057666,103011449,103062822
61,103021077,103033419,103050128,103006969,103016791
62,103050948,103026438,103029969,103003153,103018483
63,103025815,103012103,103028653,103015832,103055507
64,103059152,103013138,103013109,103026330,103047823
65,103012651,103049140,103062989,103002697,103012165
66,103045625,103051038,103065276,103022447,103018936
67,103004670,103009171,103000930,103047089,103014174
68,103056638,103001153,103056314,103048256,103036020
69,103038166,103012245,103063562,103043065,103047782
70,103046983,103034579,103017161,103064868,103016234
71,103058035,103044487,103061110,103060186,103056196
72,103001035,103004839,103009839,103061908,103029776
73,103055200,103061477,103039863,103044088,103050257
74,103033283,103061799,103053812,103007637,103043118
75,103038056,103011601,103026875,103040704,103051468
76,103030059,103045948,103026159,103054146,103046398
77,103041059,103027104,103021216,103023896,103028614
78,103029417,103049835,103031756,103025642,103034019
79,100753913,103053745,103023047,103060243,103060038
80,103001287,103011458,103018625,103044120,103054704
81,103004238,103041868,103065969,103053705,103003859
82,103061420,103014086,103054363,103063246,103036214
83,103041605,103043358,103042954,103060202,103052326
84,103004269,103001054,103059312,103023234,103014440
85,103008014,103023048,103063071,103055461,103038185
86,103048734,103045683,103028662,103046346,103049963
87,103038140,103021947,103049371,103023903,103065768
88,103066917,103030258,103020672,103010882,103066883
89,103023835,103024909,103064988,103028750,103003729
90,103008042,101225857,103047010,103048823,103065356
91,103047754,103032207,103032991,103065091,103004730
92,103019092,103015007,103061173,103058665,103055656
93,103027493,103002772,103015118,103011212,100469470
