query_id,product_id,img_oof
0,103042011,-1.9661541354982972
0,101177314,-2.9186578868478814
0,103009949,-3.7610288313718647
0,103022608,-5.25964588047199
0,103041034,-4.772763433007383
0,103048369,-1.2949370377699687
0,103011389,-5.536871076706041
0,103048541,-2.9591513610399764
0,103009583,-4.101205099889687
0,103055901,-4.038083917876476
0,103011659,-4.60033474313023
0,103060348,-3.932983947237019
0,103006494,-1.1221732205738186
0,103016991,-2.783862806886454
0,103007358,-2.2631947965107404
0,103058996,-3.7987332778477683
0,103045506,-3.441739359922881
0,103017504,-0.5232813901255909
0,103015865,-4.69941931891004
0,103043375,-4.289533920364749
0,103051237,-2.5575542574738286
0,103017156,-3.697271039404734
0,103019797,-2.4522377878122352
0,103044520,-1.2671272798970548
0,103006329,-4.087551674230421
0,103040738,-1.2200119653368875
0,103008387,-2.951711519353126
0,103037232,-3.4412490624316763
0,103064092,-4.481407219301726
0,103004265,-5.32689140742338
1,103020425,-3.6942847538952863
1,103033668,-4.3745519806090885
1,103059964,-1.5220231191263882
1,103026445,-2.236166492475417
1,103040915,-2.3328620233279413
1,103049334,-3.2902731171754995
1,103021452,-1.887092365664615
1,103050733,-3.6828453553602944
1,103056800,-3.9944022667495505
1,103043853,-3.244039238948929
1,103028130,-2.406334606567331
1,103013271,-3.7837354431751256
1,103057216,-4.149306801502106
1,103066782,-3.6103588874561967
1,103035071,-2.249570175405637
1,103010740,-4.365339245262195
1,103017389,-3.3139299961233926
1,103059874,-4.431213000762282
1,103030096,-2.86674012782483
1,103022941,-1.7428411635671774
1,103028253,-1.9062487393061776
1,103023840,-2.6155414888360857
1,103042631,-3.436770933924212
1,103013315,-4.006190124741484
1,103042447,-5.7361249409626796
1,103013182,-5.505238782061393
1,103002479,-6.357618158727595
1,103019462,-5.5106547802767345
1,103008447,-3.800738540909403
1,103015282,-1.1981222016813513
2,103053699,-8.037656275203299
2,103009266,-8.13112836252168
2,103031224,-8.840657897019572
2,103050843,-6.8890561346622405
2,103038482,0.5849387037668753
2,103000704,-8.840657897019572
2,103046458,-0.6197365839491316
2,103060996,-2.5005659671479137
2,103041724,-9.486177522008827
2,103003335,-9.272993236669526
2,103005163,-8.290982240761288
2,103035712,-5.727609847082175
2,103036524,-3.47737425743643
2,103018898,-9.486177522008827
2,103000325,-6.535583112715288
2,103060723,-9.486177522008827
2,103060812,-9.486177522008827
2,103024593,-8.549456527195524
2,103052074,-8.036238682286552
2,103019643,-9.486177522008827
2,103064520,-7.580338009099205
